fatality_id,event_id,fatality_type,fatality_date,fatality_age,fatality_sex,fatality_location
44140,960613,D,7/16/2021 0:00,71,M,Golfing
43206,961309,I,7/20/2021 0:00,32,M,Other
43207,961309,I,7/20/2021 0:00,31,M,Other
43208,961309,I,7/20/2021 0:00,,M,Other
43215,962841,I,7/7/2021 0:00,47,M,Vehicle/Towed Trailer
43216,962841,I,7/7/2021 0:00,16,F,Vehicle/Towed Trailer
43217,962841,I,7/7/2021 0:00,17,F,Vehicle/Towed Trailer
43218,962841,I,7/7/2021 0:00,17,M,Vehicle/Towed Trailer
43235,964040,D,7/24/2021 0:00,,M,Outside/Open Areas
43240,964357,D,7/30/2021 0:00,37,M,Under Tree
43267,965659,I,7/19/2021 0:00,73,M,Boating
43320,965726,D,7/7/2021 0:00,25,M,Vehicle/Towed Trailer
43315,966938,D,7/16/2021 0:00,,,Outside/Open Areas
43340,968181,D,7/17/2021 0:00,25,F,Vehicle/Towed Trailer
43338,968238,I,7/28/2021 0:00,85,M,Permanent Home
44206,970692,D,7/28/2021 0:00,17,M,Outside/Open Areas
44266,971685,D,7/20/2021 0:00,57,F,Permanent Home
44267,971685,D,7/20/2021 0:00,61,M,Permanent Home
44268,971685,D,7/20/2021 0:00,59,F,Permanent Home
44269,971685,D,7/20/2021 0:00,85,M,Permanent Home
44196,974349,D,7/25/2021 0:00,30,F,Vehicle/Towed Trailer
44197,974349,D,7/25/2021 0:00,6,M,Vehicle/Towed Trailer
44198,974349,D,7/25/2021 0:00,2,M,Vehicle/Towed Trailer
44199,974349,D,7/25/2021 0:00,37,M,Vehicle/Towed Trailer
44200,974349,D,7/25/2021 0:00,12,M,Vehicle/Towed Trailer
44201,974349,D,7/25/2021 0:00,51,M,Vehicle/Towed Trailer
44202,974349,D,7/25/2021 0:00,47,F,Vehicle/Towed Trailer
44203,974349,D,7/25/2021 0:00,15,M,Vehicle/Towed Trailer
44174,974534,D,7/21/2021 0:00,9,M,Vehicle/Towed Trailer
44170,974779,D,7/24/2021 0:00,51,M,In Water
44211,974808,I,7/8/2021 0:00,49,M,Boating
44179,975107,D,7/4/2021 0:00,,M,In Water
44205,975118,D,7/16/2021 0:00,33,M,In Water
44207,975361,I,7/17/2021 0:00,58,M,In Water
44248,975739,D,7/30/2021 0:00,66,F,Mobile/Trailer Home
44245,976232,D,7/22/2021 0:00,4,F,Vehicle/Towed Trailer
44236,976304,D,7/9/2021 0:00,,,In Water
44237,976304,D,7/9/2021 0:00,,,In Water
44238,976304,D,7/9/2021 0:00,,,In Water
44239,976304,D,7/9/2021 0:00,,,In Water
44240,976304,D,7/9/2021 0:00,,,In Water
44241,976304,D,7/9/2021 0:00,,,In Water
44242,976304,D,7/9/2021 0:00,,,In Water
44243,976304,D,7/9/2021 0:00,,,In Water
44244,976304,D,7/9/2021 0:00,,,In Water
44247,976546,D,7/29/2021 0:00,13,M,In Water
44253,976591,D,7/6/2021 0:00,,M,Outside/Open Areas
44250,976592,D,7/6/2021 0:00,,M,Outside/Open Areas
44251,976592,D,7/6/2021 0:00,,M,Outside/Open Areas
44252,976592,D,7/6/2021 0:00,34,M,Outside/Open Areas
44254,976593,D,7/10/2021 0:00,44,M,Outside/Open Areas
44270,976595,D,7/21/2021 0:00,,M,Outside/Open Areas
44276,977355,D,9/4/2021 0:00,,F,Unknown
